Name,Age,Party,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5
榎本太志,41,15,4.0,4.0,5.0,3.0,2.0,3.0,5.0,5.0,5.0,4.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0
打越さく良,51,3,4.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0
塚田一郎,55,1,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0
西尾政英,58,5,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,,,4.0,4.0,4.0,4.0,4.0
山田修路,65,1,1.0,3.0,3.0,5.0,1.0,3.0,5.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
田辺徹,58,5,5.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
山田和雄,52,6,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
嶋谷昌美,48,13,3.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
森屋宏,62,1,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0
市来伴子,41,3,5.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0
猪野恵司,35,13,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,3.0,3.0
羽田雄一郎,51,5,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,1.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0
斉藤好明,69,12,5.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,1.0,2.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,2.0,5.0,5.0,2.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
小松裕,57,1,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0
古谷孝,43,13,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
梅村慎一,48,4,4.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,2.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0
坂本雅彦,47,13,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0
牧野京夫,60,1,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0
徳川家広,54,4,5.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0
榛葉賀津也,52,5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0
鈴木千佳,48,6,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,1.0,1.0,3.0,5.0,4.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
畑山浩一,49,13,3.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0
安江伸夫,32,2,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0
橋本勉,65,15,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,5.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0
大塚耕平,59,5,3.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0
須山初美,40,6,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0
古川均,65,12,5.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,1.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
平山良平,71,9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0
石井均,54,3,2.0,3.0,1.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,5.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0
岬麻紀,50,7,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0
酒井庸行,67,1,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
田島麻衣子,42,4,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,4.0,5.0
牛田宏幸,48,16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
末永友香梨,37,13,4.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0
吉川有美,45,1,2.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0
門田節代,51,13,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0
芳野正英,44,3,3.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,3.0,1.0,3.0,3.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0
服部修,45,13,1.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,2.0,2.0,4.0,5.0
嘉田由紀子,69,3,4.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,5.0
二之湯武史,42,1,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,,2.0,,,3.0,,,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0
三上隆,88,15,4.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,5.0
西田昌司,60,1,1.0,1.0,2.0,5.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0
倉林明子,58,6,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
増原裕子,41,4,3.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0
山田彰久,38,13,3.0,4.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,1.0,3.0,1.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,3.0,1.0,5.0,4.0,1.0,5.0,5.0,3.0,3.0,5.0
浜田健,53,16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
太田房江,68,1,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,5.0,3.0,3.0,2.0,4.0,2.0,1.0,,,,,1.0,1.0,2.0,3.0,4.0
東徹,52,7,1.0,3.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,5.0
亀石倫子,45,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
にしゃんた,50,5,2.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,4.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0
杉久武,43,2,3.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
梅村みずほ,40,7,1.0,3.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,,,,,4.0,1.0,2.0,1.0,5.0
尾崎全紀,48,13,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
数森圭吾,39,11,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,1.0,2.0,2.0,5.0,3.0,1.0,3.0,5.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0
辰巳孝太郎,42,6,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
佐々木一郎,68,12,5.0,5.0,5.0,,5.0,5.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,5.0,5.0,1.0,5.0,3.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0
高橋光男,42,2,3.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0
安田真理,41,4,4.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0
加田裕之,49,1,1.0,,,,2.0,1.0,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,5.0,,,,,,1.0,,,,,2.0,2.0,2.0,2.0,2.0
清水貴之,45,7,1.0,3.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,,,,,4.0,1.0,2.0,1.0,5.0
金田峰生,53,6,5.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0
田中孝子,64,11,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,5.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,5.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0
堀井巌,53,1,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0
西田一美,58,3,3.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,4.0,5.0
藤井幹雄,58,3,5.0,5.0,5.0,5.0,2.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,5.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
世耕弘成,56,1,1.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,3.0,5.0,5.0,2.0,1.0,5.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
舞立昇治,43,1,2.0,,,4.0,1.0,1.0,,,,,,,2.0,,,,,,5.0,,,,,,1.0,,,,,2.0,2.0,2.0,2.0,3.0
中林佳子,73,3,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0
黒瀬信明,34,13,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0
石井正弘,73,1,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
原田謙介,33,4,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0
越智寛之,45,13,5.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
河井案里,45,1,1.0,4.0,1.0,5.0,1.0,1.0,3.0,2.0,5.0,3.0,3.0,3.0,1.0,4.0,5.0,3.0,2.0,1.0,5.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0
泉安政,66,12,5.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,5.0,3.0,1.0,5.0,3.0,1.0,5.0,5.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
玉田憲勲,61,3,5.0,5.0,2.0,5.0,3.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,5.0,4.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
高見篤己,67,6,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0
加陽輝実,69,13,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,4.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0
森本真治,46,3,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,,,,4.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0
溝手顕正,76,1,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
林芳正,58,1,,,5.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,
竹本秀之,63,3,3.0,4.0,3.0,5.0,1.0,1.0,3.0,4.0,5.0,1.0,4.0,3.0,5.0,5.0,3.0,1.0,1.0,3.0,3.0,5.0,5.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0
河井美和子,56,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,4.0,5.0,3.0,3.0,5.0,2.0,1.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0
大内一也,45,5,4.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0
石川新一郎,65,13,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0
高野光二郎,44,1,2.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,5.0
松本顕治,35,3,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
野村秀邦,69,3,5.0,5.0,5.0,1.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
